Personnel No.,Total Working Days,Annual Leave Days,Unapproved Absence Days,Approved Absence Days,Absence Rate (%)
617100034,23,0,0,0,0.00%
617100049,23,3,0,0,0.00%
618030024,23,1,0,0,0.00%
618030049,23,1,0,0,0.00%
618030189,23,0,0,1,4.35%
618030241,23,0,0,0,0.00%
618040412,23,0,0,0,0.00%
618060092,23,0,0,0,0.00%
618100175,23,1,0,0,0.00%
618110042,23,2,0,2,9.52%
618110077,23,2,0,0,0.00%
618110087,23,0,0,0,0.00%
618110097,23,1,0,2,9.09%
618120091,6,0,0,0,0.00%
619020144,23,1,0,1,4.55%
619020207,23,1,0,0,0.00%
619020209,23,0,0,0,0.00%
619020320,23,0,0,0,0.00%
619020343,23,1,0,0,0.00%
619020468,23,0,0,0,0.00%
619030228,23,0,0,3,13.04%
619030390,24,0,0,0,0.00%
619040194,23,0,0,0,0.00%
619050074,23,2,0,0,0.00%
619050317,24,0,0,0,0.00%
619050349,24,0,0,0,0.00%
619050431,23,0,0,0,0.00%
619060094,23,0,0,0,0.00%
619060201,23,0,0,1,4.35%
619070072,23,1,0,0,0.00%
619070107,23,1,0,1,4.55%
619070140,23,0,0,0,0.00%
619070185,23,1,0,5,22.73%
619070186,23,0,0,0,0.00%
619080060,23,2,0,0,0.00%
619080083,23,1,0,0,0.00%
619080327,23,0,0,0,0.00%
619080448,23,0,1,0,4.35%
619090315,23,3,0,1,5.00%
619100307,23,1,0,0,0.00%
619100381,23,1,0,0,0.00%
619100392,23,1,0,0,0.00%
619120117,23,0,0,0,0.00%
620020520,23,0,0,0,0.00%
620020555,23,0,0,0,0.00%
620020636,23,1,0,0,0.00%
620020691,23,0,0,0,0.00%
620020705,23,0,0,0,0.00%
620020923,23,0,0,0,0.00%
620030032,23,1,0,0,0.00%
620030052,23,1,0,0,0.00%
620030340,24,0,0,0,0.00%
620060084,23,2,0,0,0.00%
620060085,23,1,0,0,0.00%
620060128,23,1,0,0,0.00%
620060130,15,0,5,0,33.33%
620070012,23,1,0,0,0.00%
620070013,23,0,0,7,30.43%
620070020,23,0,0,0,0.00%
620070050,23,2,0,0,0.00%
620080023,23,1,0,5,22.73%
620080213,24,1,0,0,0.00%
620080271,23,0,0,0,0.00%
620080295,23,0,0,0,0.00%
620080362,23,1,0,0,0.00%
620090070,23,0,0,1,4.35%
620090101,23,0,0,0,0.00%
620090168,23,1,0,0,0.00%
620090241,23,0,0,0,0.00%
620090285,23,1,0,0,0.00%
620090386,23,2,0,0,0.00%
620090554,23,0,0,1,4.35%
620110075,23,1,0,0,0.00%
620110124,23,2,1,10,52.38%
620110267,23,1,0,0,0.00%
620110399,23,0,0,0,0.00%
620110408,23,0,0,0,0.00%
620110439,23,0,0,0,0.00%
620120027,23,0,0,1,4.35%
620120056,23,0,0,0,0.00%
620120148,23,0,0,0,0.00%
620120306,23,0,0,0,0.00%
620120386,23,1,0,0,0.00%
621020118,23,0,0,0,0.00%
621020156,23,0,0,0,0.00%
621020289,23,0,0,0,0.00%
621020323,23,0,0,0,0.00%
621020329,23,0,0,3,13.04%
621020445,23,0,0,0,0.00%
621030280,23,1,0,0,0.00%
621030380,23,0,0,0,0.00%
621030474,23,0,0,0,0.00%
621030477,23,0,0,0,0.00%
621030556,23,0,0,0,0.00%
621030557,23,0,0,0,0.00%
621030642,23,1,1,1,9.09%
621030755,23,0,0,0,0.00%
621030759,23,2,0,0,0.00%
621030996,23,0,0,0,0.00%
621031025,23,0,0,0,0.00%
621031108,23,0,0,0,0.00%
621040440,23,0,0,0,0.00%
621040446,23,1,0,0,0.00%
621040472,23,0,0,0,0.00%
621050241,23,0,0,0,0.00%
621050282,23,0,0,3,13.04%
621050490,23,1,0,1,4.55%
621060154,23,0,0,1,4.35%
621060243,23,0,0,0,0.00%
621060393,23,1,0,0,0.00%
621060451,23,0,0,5,21.74%
621070084,24,0,0,0,0.00%
621100149,23,1,0,1,4.55%
621100361,23,1,0,0,0.00%
621110013,23,2,0,0,0.00%
621110050,23,1,0,0,0.00%
621110051,23,1,0,3,13.64%
621110093,23,1,0,0,0.00%
621110165,23,1,0,1,4.55%
621110258,23,1,0,2,9.09%
621110318,23,1,0,2,9.09%
621110376,23,1,0,0,0.00%
621110407,23,0,0,0,0.00%
621110412,23,1,0,0,0.00%
621110751,23,0,0,3,13.04%
621110916,23,0,0,1,4.35%
621120019,23,1,0,0,0.00%
621120120,23,1,0,1,4.55%
621120205,23,1,0,0,0.00%
621120400,23,0,0,0,0.00%
621120401,23,0,0,1,4.35%
621120402,23,0,0,0,0.00%
622020056,23,0,0,1,4.35%
622020079,23,1,0,0,0.00%
