Personnel No.,Total Working Days,Annual Leave Days,Unapproved Absence Days,Approved Absence Days,Absence Rate (%)
617100034,6,0,0,0,0.00%
618030024,6,1,0,0,0.00%
618030049,6,0,0,0,0.00%
618030189,6,1,0,0,0.00%
618030241,6,0,0,0,0.00%
618040412,6,0,0,0,0.00%
618060092,6,0,0,0,0.00%
618100175,6,0,0,0,0.00%
618110042,6,0,0,0,0.00%
618110077,6,0,0,0,0.00%
618110087,6,0,0,0,0.00%
618110097,6,0,0,1,16.67%
619020144,6,0,0,0,0.00%
619020207,6,0,0,0,0.00%
619020209,6,0,0,0,0.00%
619020320,6,0,0,0,0.00%
619020343,6,1,0,0,0.00%
619020468,6,1,0,0,0.00%
619030228,6,0,0,0,0.00%
619040194,6,1,0,0,0.00%
619050074,6,0,0,0,0.00%
619050431,6,0,0,0,0.00%
619060094,6,0,0,0,0.00%
619060201,6,0,0,0,0.00%
619070072,6,0,0,0,0.00%
619070107,6,0,0,0,0.00%
619070140,6,0,0,0,0.00%
619070185,6,0,1,0,16.67%
619070186,6,0,0,0,0.00%
619080060,6,0,0,0,0.00%
619080083,6,0,0,0,0.00%
619080327,6,0,0,0,0.00%
619080448,6,1,0,1,20.00%
619090315,6,0,0,0,0.00%
619100307,6,0,0,0,0.00%
619100381,6,0,0,0,0.00%
619100392,6,0,0,0,0.00%
619120117,6,0,0,0,0.00%
620020520,6,1,0,0,0.00%
620020555,6,1,0,0,0.00%
620020636,6,0,0,0,0.00%
620020691,6,0,0,0,0.00%
620020705,6,0,0,0,0.00%
620020923,6,0,0,0,0.00%
620030032,6,0,0,0,0.00%
620030052,6,0,0,0,0.00%
620060084,6,0,0,0,0.00%
620060085,6,0,0,0,0.00%
620060128,6,0,0,0,0.00%
620070012,6,0,0,0,0.00%
620070013,6,0,0,0,0.00%
620070020,6,0,0,0,0.00%
620070050,6,0,0,0,0.00%
620080023,6,0,1,2,50.00%
620080213,6,0,1,0,16.67%
620080271,6,0,0,0,0.00%
620080295,6,0,0,0,0.00%
620080362,6,0,0,0,0.00%
620090070,6,0,0,0,0.00%
620090101,6,0,0,0,0.00%
620090168,6,0,0,0,0.00%
620090241,6,1,0,0,0.00%
620090386,6,0,0,0,0.00%
620090554,6,0,0,0,0.00%
620110075,6,0,0,0,0.00%
620110124,6,0,0,0,0.00%
620110267,6,1,0,0,0.00%
620110399,6,0,0,0,0.00%
620110408,6,1,0,0,0.00%
620110439,6,0,0,0,0.00%
620120027,6,0,0,0,0.00%
620120056,6,0,0,0,0.00%
620120148,6,0,0,0,0.00%
620120306,6,0,0,0,0.00%
620120386,6,0,0,0,0.00%
621020118,6,0,0,0,0.00%
621020156,6,0,0,0,0.00%
621020289,6,0,0,0,0.00%
621020323,6,0,0,0,0.00%
621020329,6,1,0,0,0.00%
621020445,6,0,0,0,0.00%
621030280,6,0,0,0,0.00%
621030380,6,0,2,4,100.00%
621030474,6,0,0,0,0.00%
621030477,6,0,0,0,0.00%
621030556,6,0,0,0,0.00%
621030557,6,0,0,0,0.00%
621030642,6,0,0,1,16.67%
621030755,6,0,0,0,0.00%
621030759,6,0,0,0,0.00%
621030996,6,0,0,0,0.00%
621031025,6,0,0,0,0.00%
621031108,6,4,0,1,50.00%
621040440,6,0,0,0,0.00%
621040446,6,0,0,0,0.00%
621040472,6,1,0,0,0.00%
621050241,6,0,0,0,0.00%
621050282,6,0,0,0,0.00%
621050490,6,0,0,0,0.00%
621060154,6,1,0,0,0.00%
621060243,6,0,0,0,0.00%
621060393,6,0,0,0,0.00%
621060451,6,0,0,6,100.00%
621100149,6,0,0,0,0.00%
621100361,6,0,0,0,0.00%
621110013,6,0,0,0,0.00%
621110050,6,0,0,0,0.00%
621110051,6,1,0,0,0.00%
621110093,6,0,0,0,0.00%
621110165,6,0,0,0,0.00%
621110258,6,0,0,0,0.00%
621110318,6,0,0,0,0.00%
621110376,6,1,0,0,0.00%
621110407,6,0,0,0,0.00%
621110412,6,0,0,1,16.67%
621110751,6,0,0,0,0.00%
621110916,6,1,0,0,0.00%
621120019,6,0,0,0,0.00%
621120120,6,0,0,0,0.00%
621120205,6,0,0,0,0.00%
621120400,6,0,0,0,0.00%
621120401,6,0,0,0,0.00%
621120402,6,1,0,0,0.00%
622020056,6,1,0,0,0.00%
622020079,6,0,0,0,0.00%
622020340,6,0,1,0,16.67%
622020578,6,1,0,0,0.00%
622020633,6,0,0,0,0.00%
622020636,6,0,0,0,0.00%
622020703,6,0,0,0,0.00%
622020912,6,0,0,0,0.00%
622020913,6,0,0,0,0.00%
622020914,6,0,0,0,0.00%
622021022,6,0,0,0,0.00%
622021048,6,0,0,0,0.00%
622021050,6,1,0,0,0.00%
622021407,6,0,0,0,0.00%
622021556,6,0,0,0,0.00%
622021557,6,0,0,0,0.00%
622021632,6,0,0,0,0.00%
622021707,6,1,0,1,20.00%
622021749,6,0,0,0,0.00%
622030022,6,0,0,0,0.00%
622030023,6,0,0,0,0.00%
622030225,6,0,0,0,0.00%
622030226,6,0,0,0,0.00%
622030320,6,0,0,0,0.00%
622030489,6,0,0,0,0.00%
622030504,6,0,0,0,0.00%
622030533,6,0,0,0,0.00%
622030777,6,0,0,0,0.00%
622040143,6,0,0,0,0.00%
622040464,6,0,0,0,0.00%
622040552,6,0,0,1,16.67%
622040679,6,0,0,0,0.00%
622050074,6,1,0,0,0.00%
622050158,6,1,0,2,40.00%
622050171,6,0,0,0,0.00%
622050244,6,0,0,0,0.00%
622050246,6,0,0,0,0.00%
622050263,6,0,0,0,0.00%
622050265,6,1,0,0,0.00%
622050461,6,0,0,0,0.00%
622050496,6,0,0,0,0.00%
622050542,6,2,0,0,0.00%
622050636,6,0,0,0,0.00%
622060056,6,0,0,0,0.00%
622060302,6,0,0,0,0.00%
622060307,6,0,0,0,0.00%
622060369,6,0,0,0,0.00%
622070130,6,0,0,0,0.00%
622070133,6,0,0,0,0.00%
622070156,6,0,0,0,0.00%
622070194,6,0,0,0,0.00%
622070337,6,0,0,1,16.67%
622070444,6,0,0,0,0.00%
622070476,6,0,0,0,0.00%
622070609,6,0,0,0,0.00%
622070612,6,1,0,0,0.00%
622080106,6,1,0,0,0.00%
622080448,6,0,0,0,0.00%
622080450,6,0,0,0,0.00%
622080451,6,1,0,0,0.00%
622080452,6,0,0,0,0.00%
622080455,6,0,0,0,0.00%
622080458,6,0,0,0,0.00%
622090015,6,0,0,0,0.00%
622120016,6,0,0,0,0.00%
622120018,6,0,0,0,0.00%
623010008,6,0,0,0,0.00%
623020021,6,0,0,0,0.00%
623030007,6,1,0,0,0.00%
623030244,6,0,0,0,0.00%
623040186,6,0,0,0,0.00%
623040397,6,0,0,0,0.00%
623050008,6,2,0,0,0.00%
623050010,6,0,0,0,0.00%
623050027,6,0,0,0,0.00%
623060088,6,0,0,0,0.00%
623060090,6,1,0,0,0.00%
623060116,6,1,0,1,20.00%
623070012,6,0,0,0,0.00%
623080377,6,0,0,0,0.00%
623080378,6,0,0,0,0.00%
623080380,6,0,0,0,0.00%
623080417,6,0,0,0,0.00%
623080447,6,0,0,0,0.00%
623080455,6,0,0,0,0.00%
623080456,2,0,1,0,50.00%
623080475,6,0,0,0,0.00%
623090019,6,0,0,0,0.00%
623090021,6,1,0,0,0.00%
623090032,6,0,0,0,0.00%
623090063,6,0,0,0,0.00%
623090111,6,0,0,0,0.00%
623090139,6,0,0,0,0.00%
623090163,6,0,0,0,0.00%
623090194,6,0,0,0,0.00%
623090198,6,1,0,0,0.00%
623090218,6,1,0,0,0.00%
623090224,6,0,0,0,0.00%
623090227,6,0,0,0,0.00%
623090280,6,0,0,0,0.00%
623090325,6,0,0,0,0.00%
623090362,6,1,0,0,0.00%
